name,kind,family,weighting,sector_neutral,n_events,n_months,mean_ic,ic_t,ic_p,bh_significant,mean_spread,spread_hit_rate,net_spread_25bps,net_spread_50bps,subperiod_stable,ic_old,ic_new,top_sector_share,status
orthogonal_blend__ic_weighted,model,model,ic_weighted,True,17072,96,-0.0139,-0.87,0.3826,False,-0.0032,0.5521,-0.0082,-0.0132,False,0.0172,-0.0402,0.7906,rejected
orthogonal_blend__equal,model,model,equal,True,17072,96,-0.0007,-0.04,0.9697,False,0.0001,0.5417,-0.0049,-0.0099,False,0.0305,-0.0409,0.8013,rejected
orthogonal_blend__ic_weighted,model,model,ic_weighted,True,17072,96,-0.016,-1.08,0.2789,False,-0.0056,0.5625,-0.0105,-0.0155,False,0.0069,-0.041,0.8016,rejected
orthogonal_blend__equal,model,model,equal,True,17072,96,0.0003,0.01,0.9886,False,-0.0014,0.5208,-0.0064,-0.0114,False,0.03,-0.0402,0.8034,rejected
orthogonal_blend__ic_weighted,model,model,ic_weighted,True,17072,96,-0.0005,-0.03,0.9754,False,-0.0024,0.5521,-0.0074,-0.0124,False,0.0247,-0.03,0.8086,rejected
orthogonal_blend__equal,model,model,equal,True,17072,96,0.0011,0.06,0.9506,False,-0.0002,0.4688,-0.0052,-0.0102,False,0.0289,-0.0314,0.8057,rejected
orthogonal_blend__ic_weighted,model,model,ic_weighted,True,17072,96,-0.0038,-0.27,0.7861,False,-0.006,0.5417,-0.011,-0.016,False,0.0298,-0.0347,0.8043,rejected
orthogonal_blend__equal,model,model,equal,True,17072,96,0.0031,0.18,0.8587,False,-0.0024,0.4792,-0.0074,-0.0124,False,0.0308,-0.0464,0.8075,rejected
orthogonal_blend__ic_weighted,model,model,ic_weighted,True,17072,96,0.006,0.42,0.6751,False,-0.0009,0.5312,-0.0059,-0.0109,True,0.0353,-0.0184,0.7978,rejected
orthogonal_blend__equal,model,model,equal,True,17072,96,-0.0044,-0.25,0.7997,False,0.0011,0.5521,-0.0039,-0.0089,False,0.0303,-0.0516,0.8147,rejected
orthogonal_blend__ic_weighted,model,model,ic_weighted,True,17072,96,-0.0142,-0.94,0.349,False,-0.0053,0.5833,-0.0103,-0.0152,False,0.026,-0.0444,0.7812,rejected
orthogonal_blend__equal,model,model,equal,True,17072,96,0.0071,0.41,0.6828,False,0.0006,0.5,-0.0044,-0.0093,True,0.0365,-0.0326,0.8002,rejected
orthogonal_blend__ic_weighted,model,model,ic_weighted,True,17072,96,-0.0027,-0.2,0.8435,False,-0.0028,0.5312,-0.0078,-0.0128,False,0.0292,-0.0308,0.8037,rejected
orthogonal_blend__equal,model,model,equal,True,17072,96,-0.0021,-0.12,0.9021,False,-0.0024,0.5,-0.0074,-0.0124,False,0.0286,-0.0469,0.7914,rejected
orthogonal_blend__ic_weighted,model,model,ic_weighted,True,17072,96,0.0173,1.12,0.2614,False,0.0032,0.5521,-0.0018,-0.0068,True,0.0344,-0.0076,0.7964,rejected
orthogonal_blend__equal,model,model,equal,True,17072,96,0.0012,0.07,0.942,False,0.0,0.5833,-0.0049,-0.0099,False,0.0223,-0.0251,0.8086,rejected
orthogonal_blend__ic_weighted,model,model,ic_weighted,True,17072,96,0.0035,0.25,0.7989,False,-0.0032,0.4896,-0.0082,-0.0132,True,0.0234,-0.0142,0.7906,rejected
orthogonal_blend__equal,model,model,equal,True,17072,96,0.0067,0.39,0.6974,False,-0.0007,0.4583,-0.0057,-0.0107,False,0.0284,-0.0242,0.7935,rejected
orthogonal_blend__ic_weighted,model,model,ic_weighted,True,17072,96,0.0024,0.16,0.8711,False,-0.0008,0.5,-0.0058,-0.0108,False,0.0271,-0.0245,0.7961,rejected
orthogonal_blend__equal,model,model,equal,True,17072,96,0.0098,0.57,0.5709,False,-0.0001,0.4375,-0.005,-0.01,True,0.0317,-0.0331,0.8034,rejected
orthogonal_blend__ic_weighted,model,model,ic_weighted,True,17072,96,-0.0013,-0.09,0.9256,False,-0.0017,0.5625,-0.0067,-0.0117,False,0.0272,-0.0264,0.7897,rejected
orthogonal_blend__equal,model,model,equal,True,17072,96,0.0054,0.34,0.7352,False,0.0001,0.5104,-0.0049,-0.0099,False,0.0237,-0.0255,0.8025,rejected
