name,kind,family,weighting,sector_neutral,n_events,n_months,mean_ic,ic_t,ic_p,bh_significant,mean_spread,spread_hit_rate,net_spread_25bps,net_spread_50bps,subperiod_stable,ic_old,ic_new,top_sector_share,status
f_level_raw,scenario,orthogonal,,False,38237,120,0.0112,0.69,0.4907,False,0.0003,0.6,-0.0047,-0.0097,False,0.0386,-0.015,0.7604,rejected
f_level_sn,scenario,orthogonal,,True,38237,120,0.0121,0.76,0.4447,False,0.0008,0.625,-0.0042,-0.0092,False,0.0546,-0.0163,0.7317,rejected
f_chg1_raw,scenario,orthogonal,,False,38159,120,0.0162,1.11,0.2658,False,0.0044,0.5667,-0.0006,-0.0056,True,0.0366,-0.0124,0.81,rejected
f_chg1_sn,scenario,orthogonal,,True,38159,120,0.0196,1.3,0.1928,False,0.0027,0.525,-0.0023,-0.0073,True,0.0368,-0.0126,0.5372,rejected
f_accel_raw,scenario,orthogonal,,False,38042,120,0.0128,1.04,0.2997,False,0.002,0.575,-0.0029,-0.0079,True,0.0289,-0.0066,0.7724,rejected
f_accel_sn,scenario,orthogonal,,True,38042,120,0.0211,1.62,0.1053,False,0.0039,0.6,-0.0011,-0.0061,True,0.0317,-0.0077,0.5154,rejected
f_lag1_raw,scenario,orthogonal,,False,38159,120,0.0001,0.01,0.9925,False,0.0007,0.5,-0.0043,-0.0093,False,-0.0058,0.0009,0.6799,rejected
f_lag1_sn,scenario,orthogonal,,True,38159,120,-0.0027,-0.18,0.8573,False,-0.0014,0.5,-0.0064,-0.0114,False,0.0025,0.001,0.8537,rejected
f_rmean_5_raw,scenario,orthogonal,,False,38159,120,-0.0122,-0.85,0.3952,False,-0.0004,0.475,-0.0054,-0.0103,False,0.0058,-0.0252,0.7251,rejected
f_rmean_5_sn,scenario,orthogonal,,True,38159,120,-0.0067,-0.47,0.6419,False,-0.0003,0.4667,-0.0053,-0.0102,False,0.0095,-0.0263,0.7962,rejected
f_rstd_5_raw,scenario,orthogonal,,False,38159,120,-0.0018,-0.11,0.9105,False,0.006,0.5583,0.001,-0.0039,False,-0.0007,-0.0039,0.816,rejected
f_rstd_5_sn,scenario,orthogonal,,True,38159,120,0.0025,0.17,0.8635,False,0.006,0.575,0.0011,-0.0039,False,0.0022,-0.006,0.3933,rejected
