name,kind,top_sector,top_sector_share,hhi,single_sector_dominated
f_rmean_21_sn,scenario,Unknown,0.2348,0.1354,False
f_rstd_21_raw,scenario,Unknown,0.7578,0.5834,True
f_rstd_21_sn,scenario,Unknown,0.1947,0.122,False
f_rchg_21_raw,scenario,Unknown,0.6428,0.437,True
f_rchg_21_sn,scenario,Unknown,0.8994,0.8103,True
f_rmean_63_raw,scenario,Unknown,0.7375,0.5549,True
f_rmean_63_sn,scenario,Information Technology,0.1858,0.1215,False
f_rstd_63_raw,scenario,Unknown,0.8003,0.6478,True
f_rstd_63_sn,scenario,Information Technology,0.2556,0.1303,False
f_rchg_63_raw,scenario,Unknown,0.6221,0.4101,True
f_rchg_63_sn,scenario,Unknown,0.9209,0.8491,True
f_z_raw,scenario,Unknown,0.6362,0.4282,True
f_z_sn,scenario,Unknown,0.6014,0.3845,True
f_sector_z_raw,scenario,Unknown,0.4576,0.2481,False
f_sector_z_sn,scenario,Unknown,0.4576,0.2481,False
f_rank_raw,scenario,Unknown,0.6362,0.4282,True
f_rank_sn,scenario,Unknown,0.7553,0.5827,True
f_winz_raw,scenario,Unknown,0.6362,0.4282,True
f_winz_sn,scenario,Unknown,0.6782,0.4754,True
f_x_surprise_raw,scenario,Unknown,0.7009,0.5025,True
f_x_surprise_sn,scenario,Unknown,0.5548,0.3395,False
f_x_quality_raw,scenario,Unknown,0.641,0.4337,True
f_x_quality_sn,scenario,Unknown,0.5097,0.322,False
f_x_value_raw,scenario,Unknown,0.6672,0.4602,True
f_x_value_sn,scenario,Unknown,0.6246,0.4205,True
f_x_mom_raw,scenario,Unknown,0.8023,0.649,True
f_x_mom_sn,scenario,Unknown,0.722,0.5328,True
orthogonal_blend__ic_weighted,model,Unknown,0.8086,0.66,True
orthogonal_blend__equal,model,Unknown,0.8057,0.6554,True
f_level_raw,scenario,Unknown,0.4918,0.293,False
f_level_sn,scenario,Unknown,0.6671,0.4619,True
f_chg1_raw,scenario,Unknown,0.6465,0.4447,True
f_chg1_sn,scenario,Unknown,0.4194,0.2205,False
f_accel_raw,scenario,Unknown,0.6645,0.4596,True
f_accel_sn,scenario,Unknown,0.4132,0.2149,False
f_lag1_raw,scenario,Unknown,0.4962,0.2957,False
f_lag1_sn,scenario,Unknown,0.8044,0.6528,True
f_rmean_5_raw,scenario,Unknown,0.5153,0.3108,False
f_rmean_5_sn,scenario,Unknown,0.6772,0.4739,True
f_rstd_5_raw,scenario,Unknown,0.6689,0.4664,True
f_rstd_5_sn,scenario,Unknown,0.3805,0.1895,False
f_rchg_5_raw,scenario,Unknown,0.6198,0.4179,True
f_rchg_5_sn,scenario,Unknown,0.4315,0.2309,False
f_rmean_21_raw,scenario,Unknown,0.5121,0.3063,False
f_rmean_21_sn,scenario,Unknown,0.3257,0.1637,False
f_rstd_21_raw,scenario,Unknown,0.6352,0.4243,True
f_rstd_21_sn,scenario,Unknown,0.273,0.1368,False
f_rchg_21_raw,scenario,Unknown,0.5814,0.3707,False
f_rchg_21_sn,scenario,Unknown,0.8787,0.7749,True
f_rmean_63_raw,scenario,Unknown,0.5262,0.3119,False
f_rmean_63_sn,scenario,Information Technology,0.1773,0.1223,False
f_rstd_63_raw,scenario,Unknown,0.6629,0.4559,True
f_rstd_63_sn,scenario,Health Care,0.1802,0.117,False
f_rchg_63_raw,scenario,Unknown,0.5675,0.354,False
f_rchg_63_sn,scenario,Unknown,0.7459,0.5979,True
f_z_raw,scenario,Unknown,0.4918,0.293,False
f_z_sn,scenario,Unknown,0.6671,0.4619,True
f_sector_z_raw,scenario,Unknown,0.5919,0.3695,False
f_sector_z_sn,scenario,Unknown,0.5919,0.3695,False
