name,kind,family,ic_old,t_old,ic_new,t_new,both_cohorts_positive,old_cohort_only
ix_asset_growth_x_net_share_issuance,scenario,interaction,0.0104,0.59,0.0027,0.13,True,False
ix_asset_growth_x_leverage_change,scenario,interaction,-0.0105,-0.66,-0.0243,-1.33,False,False
ix_asset_growth_x_fcf_to_assets,scenario,interaction,-0.0269,-1.55,-0.0033,-0.18,False,False
ix_asset_growth_x_dividend_growth,scenario,interaction,-0.0003,-0.01,-0.0194,-0.95,False,False
ix_asset_growth_x_news_sentiment,scenario,interaction,-0.0035,-0.2,0.0188,1.15,False,False
ix_net_share_issuance_x_leverage_change,scenario,interaction,0.0053,0.37,-0.0213,-1.2,False,True
ix_net_share_issuance_x_fcf_to_assets,scenario,interaction,-0.0359,-2.02,0.0184,0.98,False,False
ix_net_share_issuance_x_dividend_growth,scenario,interaction,0.0077,0.43,0.0168,1.0,True,False
ix_net_share_issuance_x_news_sentiment,scenario,interaction,-0.0255,-1.64,0.0017,0.09,False,False
ix_leverage_change_x_fcf_to_assets,scenario,interaction,0.0008,0.05,-0.0325,-1.71,False,True
ix_leverage_change_x_dividend_growth,scenario,interaction,0.0089,0.61,-0.0037,-0.21,False,True
ix_leverage_change_x_news_sentiment,scenario,interaction,0.037,2.19,-0.0034,-0.2,False,True
ix_fcf_to_assets_x_dividend_growth,scenario,interaction,-0.015,-0.79,-0.0471,-2.33,False,False
ix_fcf_to_assets_x_news_sentiment,scenario,interaction,0.008,0.51,-0.0003,-0.02,False,True
ix_dividend_growth_x_news_sentiment,scenario,interaction,-0.0254,-1.47,-0.0178,-1.01,False,False
ix_earnings_surprise_x_surprise,scenario,interaction,0.0028,0.16,-0.0203,-1.04,False,True
ix_earnings_surprise_x_momentum,scenario,interaction,-0.0096,-0.61,-0.0118,-0.64,False,False
ix_earnings_surprise_x_quality,scenario,interaction,-0.0075,-0.5,0.0064,0.42,False,False
ix_earnings_surprise_x_value,scenario,interaction,0.0146,0.85,0.0147,0.93,True,False
ix_eps_growth_yoy_x_surprise,scenario,interaction,-0.0259,-1.45,-0.0125,-0.74,False,False
ix_eps_growth_yoy_x_momentum,scenario,interaction,-0.0089,-0.51,-0.0377,-1.86,False,False
ix_eps_growth_yoy_x_quality,scenario,interaction,-0.0344,-2.1,-0.0072,-0.44,False,False
