side,rank_sn,ticker,sector,sector_repaired,sector_is_unknown,comp_sn,comp_raw,cohort,liquidity_proxy,before_review_label,review_decision,reviewer,reviewed_at,conviction,reviewer_notes,approved,order_action,review_status
LONG,1,EXPE,Consumer Discretionary,True,False,8.76583,9.09173,new,319234945.75545,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,2,JPM,Financials,False,False,7.09546,6.45231,old,1614580632.36823,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,3,BKNG,Consumer Discretionary,False,False,7.05134,7.48586,old,883946761.92542,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,4,EA,Communication Services,True,False,6.06291,8.18347,new,356483975.58672,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,5,STX,Information Technology,True,False,5.36829,5.5367,old,305711234.37018,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,6,APP,Information Technology,True,False,5.0787,4.9552,old,958690151.55417,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,7,RELX,Industrials,True,False,4.75745,4.60116,old,24333084.99082,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,8,LULU,Consumer Discretionary,True,False,4.4089,5.19578,new,453086138.99762,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,9,IP,Materials,True,False,4.01243,2.53384,new,167255542.46503,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,10,PM,Consumer Staples,False,False,3.88587,3.44856,old,446906305.04345,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,11,NOW,Information Technology,False,False,3.8313,4.08509,old,784865169.87267,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,12,SNDK,Information Technology,True,False,3.55072,3.58237,old,5533086460.11645,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,13,DXCM,Health Care,True,False,3.41381,3.1326,new,658743622.53023,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,14,EXE,Energy,True,False,3.41343,3.5162,new,207369272.3459,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,15,CHRW,Industrials,True,False,3.26801,3.19116,new,134570694.32006,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,16,EQT,Energy,True,False,3.17681,3.28109,new,250876696.41551,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,17,LYV,Communication Services,True,False,3.0021,5.45976,new,170609749.27673,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,18,IVZ,Financials,True,False,2.95738,2.47108,new,95898438.00682,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,19,MCO,Financials,False,False,2.92095,2.3776,old,229915110.33058,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
