family,representative,decision,failure_class,primary_ic_t,primary_net25
MOMENTUM,mom_12_1,DATA_SUFFICIENT_FOR_THIS_FAMILY,EDGE_FOUND,6.296,0.02331
SHORT_REVERSAL,rev_1m,DATA_SUFFICIENT_NO_EDGE,NO_EDGE,2.151,0.00156
LOW_VOLATILITY,lowvol_12m,DATA_SUFFICIENT_NO_EDGE,NO_EDGE,7.605,0.00479
LIQUIDITY,liquidity,DATA_SUFFICIENT_NO_EDGE,NO_EDGE,8.063,0.00382
