candidate,neutralization,horizon,split,n_months,mean_ic,ic_t,net25,long_only,maxdd
mom_12_1,raw,fwd_3m,dev,318,0.04078,5.305,0.02317,0.03655,-4.65323
mom_12_1,raw,fwd_3m,val,48,-0.00031,-0.016,0.00022,0.0523,-1.28014
mom_12_1,raw,fwd_3m,holdout,57,0.07813,5.507,0.04356,0.03377,-0.51488
mom_12_1,sector_neutral,fwd_3m,dev,318,0.03494,5.716,0.01298,0.03497,-3.98453
mom_12_1,sector_neutral,fwd_3m,val,48,-0.01647,-1.096,-0.00837,0.03691,-1.16943
mom_12_1,sector_neutral,fwd_3m,holdout,57,0.05114,4.028,0.03124,0.03301,-0.26304
mom_6_1,raw,fwd_3m,dev,323,0.03356,4.974,0.02833,0.04243,-3.40275
mom_6_1,raw,fwd_3m,val,48,0.03054,1.928,0.02395,0.0617,-0.38412
mom_6_1,raw,fwd_3m,holdout,57,0.07268,4.801,0.04151,0.03295,-0.48914
mom_6_1,sector_neutral,fwd_3m,dev,323,0.03229,6.092,0.01835,0.0408,-3.15041
mom_6_1,sector_neutral,fwd_3m,val,48,0.02135,1.462,0.01633,0.05331,-0.5108
mom_6_1,sector_neutral,fwd_3m,holdout,57,0.03753,2.842,0.01776,0.02752,-0.54253
mom_3_1,raw,fwd_1m,dev,324,0.01232,1.856,0.00214,0.01082,-0.97885
mom_3_1,raw,fwd_1m,val,48,0.01723,0.915,0.00547,0.01855,-0.24148
mom_3_1,raw,fwd_1m,holdout,59,0.02786,1.642,0.0066,0.00603,-0.62663
mom_3_1,sector_neutral,fwd_1m,dev,324,0.01178,2.375,0.0,0.01056,-1.13824
mom_3_1,sector_neutral,fwd_1m,val,48,0.01789,1.053,0.0034,0.01674,-0.21013
mom_3_1,sector_neutral,fwd_1m,holdout,59,0.02829,1.978,0.00202,0.00735,-0.29294
rev_1m,raw,fwd_1m,dev,324,0.0171,2.817,0.00308,0.01294,-0.72477
rev_1m,raw,fwd_1m,val,48,0.02605,1.703,0.01208,0.02367,-0.21392
rev_1m,raw,fwd_1m,holdout,59,-0.03203,-2.297,-0.01536,-0.00079,-0.94706
rev_1m,sector_neutral,fwd_1m,dev,324,0.02475,5.261,0.00723,0.01549,-0.491
rev_1m,sector_neutral,fwd_1m,val,48,0.00696,0.544,0.00172,0.01386,-0.176
rev_1m,sector_neutral,fwd_1m,holdout,59,-0.02818,-2.412,-0.01071,0.00301,-0.81052
lowvol_12m,raw,fwd_3m,dev,318,0.06773,6.383,0.01009,0.03123,-4.09426
lowvol_12m,raw,fwd_3m,val,48,0.03514,1.378,-0.03509,0.02177,-3.07221
lowvol_12m,raw,fwd_3m,holdout,57,0.10163,4.554,0.00885,0.01463,-1.83209
lowvol_12m,sector_neutral,fwd_3m,dev,318,0.04247,8.152,0.02362,0.03787,-3.02607
lowvol_12m,sector_neutral,fwd_3m,val,48,0.01911,1.253,-0.00264,0.03802,-1.00302
lowvol_12m,sector_neutral,fwd_3m,holdout,57,0.00437,0.321,0.01774,0.02102,-0.99413
liquidity,raw,fwd_3m,dev,318,0.03159,5.863,-0.00146,0.02707,-2.99441
liquidity,raw,fwd_3m,val,48,0.06773,3.918,0.0193,0.04098,-0.63148
liquidity,raw,fwd_3m,holdout,57,0.06189,4.314,0.02027,0.02314,-0.63119
liquidity,sector_neutral,fwd_3m,dev,318,-0.00925,-1.511,-0.00371,0.02501,-3.96165
liquidity,sector_neutral,fwd_3m,val,48,-0.00204,-0.096,0.00361,0.03678,-0.85195
liquidity,sector_neutral,fwd_3m,holdout,57,-0.03863,-2.759,0.00132,0.02794,-0.89528
