candidate,neutralization,horizon,slice,n_months,mean_ic,ic_t,net25,gross_spread,long_only,maxdd
mom_6_1,sector_neutral,fwd_1m,pre2020,353,0.02363,4.335,0.00443,0.00651,0.01287,-1.0896
mom_6_1,sector_neutral,fwd_1m,post2020,77,0.01696,1.326,0.00011,0.00293,0.01395,-0.599
mom_6_1,sector_neutral,fwd_3m,full,428,0.03176,6.817,0.01804,0.02025,0.04043,-3.15041
mom_6_1,sector_neutral,fwd_3m,dev,323,0.03229,6.092,0.01835,0.02038,0.0408,-3.15041
mom_6_1,sector_neutral,fwd_3m,val,48,0.02135,1.462,0.01633,0.01906,0.05331,-0.5108
mom_6_1,sector_neutral,fwd_3m,holdout,57,0.03753,2.842,0.01776,0.02048,0.02752,-0.54253
mom_6_1,sector_neutral,fwd_3m,pre2020,353,0.03365,6.674,0.0191,0.02118,0.03827,-3.15041
mom_6_1,sector_neutral,fwd_3m,post2020,75,0.02285,1.904,0.01307,0.01587,0.05059,-0.54253
mom_6_1,sector_neutral,fwd_6m,full,425,0.04833,10.028,0.03421,0.03642,0.078,-7.23131
mom_6_1,sector_neutral,fwd_6m,dev,323,0.04871,8.846,0.03421,0.03625,0.08043,-7.23131
mom_6_1,sector_neutral,fwd_6m,val,48,0.02082,1.297,0.00878,0.0115,0.08388,-1.53149
mom_6_1,sector_neutral,fwd_6m,holdout,54,0.0705,6.06,0.05682,0.05956,0.05818,-0.4895
mom_6_1,sector_neutral,fwd_6m,pre2020,353,0.04939,9.536,0.03544,0.03752,0.07459,-7.23131
mom_6_1,sector_neutral,fwd_6m,post2020,72,0.04315,3.346,0.02819,0.03099,0.09467,-1.44487
mom_3_1,raw,fwd_1m,full,431,0.015,2.55,0.00312,0.00564,0.01103,-0.97885
mom_3_1,raw,fwd_1m,dev,324,0.01232,1.856,0.00214,0.00469,0.01082,-0.97885
mom_3_1,raw,fwd_1m,val,48,0.01723,0.915,0.00547,0.00793,0.01855,-0.24148
mom_3_1,raw,fwd_1m,holdout,59,0.02786,1.642,0.0066,0.00902,0.00603,-0.62663
mom_3_1,raw,fwd_1m,pre2020,354,0.01173,1.85,0.00201,0.00454,0.01018,-0.97885
mom_3_1,raw,fwd_1m,post2020,77,0.03001,1.965,0.00823,0.01068,0.01493,-0.62663
mom_3_1,raw,fwd_3m,full,429,0.0234,4.563,0.01959,0.02211,0.03621,-2.22093
mom_3_1,raw,fwd_3m,dev,324,0.01831,3.057,0.01766,0.0202,0.03533,-2.22093
