candidate,family,neutralization,primary_horizon,n_months,mean_ic,ic_t,ic_nw_t,screen_t,pos_ic_rate,gross_spread,net25,net50,avg_turnover,pre2020_ic,post2020_ic,pre_post_same_sign,screen_pass,screen_reasons
mom_12_1,MOMENTUM,raw,fwd_3m,423,0.04115,6.296,4.337,6.296,0.664,0.02469,0.02331,0.02194,0.2758,0.04089,0.04235,True,True,
mom_12_1,MOMENTUM,sector_neutral,fwd_3m,423,0.03129,5.956,4.157,5.956,0.648,0.01484,0.01302,0.01119,0.3661,0.03385,0.01941,True,True,
mom_6_1,MOMENTUM,raw,fwd_3m,428,0.03843,6.646,4.959,6.646,0.661,0.03141,0.0296,0.02778,0.3637,0.03502,0.05448,True,True,
mom_6_1,MOMENTUM,sector_neutral,fwd_3m,428,0.03176,6.817,5.091,6.817,0.65,0.02025,0.01804,0.01584,0.4418,0.03365,0.02285,True,True,
mom_3_1,MOMENTUM,raw,fwd_1m,431,0.015,2.55,2.553,2.553,0.578,0.00564,0.00312,0.00061,0.5042,0.01173,0.03001,True,True,
mom_3_1,MOMENTUM,sector_neutral,fwd_1m,431,0.01472,3.193,3.197,3.197,0.566,0.00345,0.00066,-0.00213,0.5591,0.01154,0.02933,True,True,
rev_1m,SHORT_REVERSAL,raw,fwd_1m,431,0.01137,2.151,2.153,2.153,0.531,0.00578,0.00156,-0.00267,0.8477,0.01838,-0.02085,False,True,
rev_1m,SHORT_REVERSAL,sector_neutral,fwd_1m,431,0.01552,3.681,3.685,3.685,0.587,0.00846,0.00416,-0.00013,0.8611,0.0236,-0.02162,False,True,
lowvol_12m,LOW_VOLATILITY,raw,fwd_3m,423,0.0686,7.605,5.222,7.605,0.619,0.00552,0.00479,0.00407,0.1458,0.06974,0.06333,True,True,
lowvol_12m,LOW_VOLATILITY,sector_neutral,fwd_3m,423,0.03469,7.387,5.044,7.387,0.619,0.02071,0.01985,0.01899,0.173,0.04032,0.00852,True,True,
liquidity,LIQUIDITY,raw,fwd_3m,423,0.03978,8.063,5.711,8.063,0.671,0.00416,0.00382,0.00348,0.0686,0.03646,0.05517,True,True,
liquidity,LIQUIDITY,sector_neutral,fwd_3m,423,-0.01239,-2.237,-1.556,2.237,0.485,-0.00147,-0.00221,-0.00294,0.1478,-0.01018,-0.02263,False,False,NONPOSITIVE_IC(-0.01239);NONPOSITIVE_SPREAD(-0.00147);NONPOSITIVE_NET25(-0.00221)
