candidate,neutralization,family,status,primary_horizon,ic_t,adj_ic_t,pos_ic_rate,net25,net50,avg_turnover,max_year_frac,holdout_net25,abs_corr_vs_champion,adjusted_p
mom_12_1,raw,MOMENTUM,ORTHOGONAL_ALPHA_RESEARCH_ELIGIBLE,fwd_3m,6.296,4.337,0.664,0.02331,0.02194,0.2758,0.408,0.04356,0.1206,0.00052
mom_12_1,sector_neutral,MOMENTUM,ORTHOGONAL_ALPHA_RESEARCH_ELIGIBLE,fwd_3m,5.956,4.157,0.648,0.01302,0.01119,0.3661,0.674,0.03124,0.1071,0.00116
mom_6_1,raw,MOMENTUM,STRONG_ALPHA_PAPER_CHALLENGER_ELIGIBLE,fwd_3m,6.646,4.959,0.661,0.0296,0.02778,0.3637,0.25,0.04151,0.1186,3e-05
mom_6_1,sector_neutral,MOMENTUM,STRONG_ALPHA_PAPER_CHALLENGER_ELIGIBLE,fwd_3m,6.817,5.091,0.65,0.01804,0.01584,0.4418,0.397,0.01776,0.1079,1e-05
lowvol_12m,sector_neutral,LOW_VOLATILITY,STRONG_ALPHA_PAPER_CHALLENGER_ELIGIBLE,fwd_3m,7.387,5.044,0.619,0.01985,0.01899,0.173,0.307,0.01774,0.1492,2e-05
