ticker,base_symbol,delist_yyyymm,gics_sector,is_delisted
ACN-200011,ACN,200011,Health Care,True
ACNB,ACNB,,Financials,False
ACNT,ACNT,,Materials,False
ACO-199707,ACO,199707,Financials,True
ACO-201405,ACO,201405,Materials,True
ACOM-199611,ACOM,199611,Consumer Discretionary,True
ACOM-200110,ACOM,200110,Information Technology,True
ACOM-201212,ACOM,201212,Information Technology,True
ACORQ-202408,ACORQ,202408,Health Care,True
ACPI-199511,ACPI,199511,Consumer Discretionary,True
ACPIQ-201010,ACPIQ,201010,Financials,True
ACR,ACR,,Financials,False
ACR-199310,ACR,199310,Industrials,True
ACR-200607,ACR,200607,Health Care,True
ACRE,ACRE,,Financials,False
ACRS,ACRS,,Health Care,False
ACRTQ-200401,ACRTQ,200401,Financials,True
ACRU-200209,ACRU,200209,Information Technology,True
ACRV,ACRV,,Health Care,False
ACS-201002,ACS,201002,Industrials,True
ACSE-199509,ACSE,199509,Consumer Discretionary,True
ACT,ACT,,Financials,False
ACTA-201804,ACTA,201804,Information Technology,True
ACTG,ACTG,,Financials,False
ACTI-201012,ACTI,201012,Information Technology,True
ACTL-201011,ACTL,201011,Information Technology,True
ACTRQ-200310,ACTRQ,200310,Information Technology,True
ACTU,ACTU,,Health Care,False
ACTV-201311,ACTV,201311,Information Technology,True
ACU,ACU,,Health Care,False
ACUR,ACUR,,Health Care,False
ACV-201105,ACV,201105,Consumer Staples,True
ACVA,ACVA,,Industrials,False
ACVC-200102,ACVC,200102,Information Technology,True
ACW-201611,ACW,201611,Industrials,True
ACX-200202,ACX,200202,Communication Services,True
ACY-199411,ACY,199411,Health Care,True
ACZ-199610,ACZ,199610,Materials,True
AD,AD,,Communication Services,False
AD-200703,AD,200703,Communication Services,True
ADA-199607,ADA,199607,Consumer Discretionary,True
ADAC-200012,ADAC,200012,UNKNOWN,True
ADAM,ADAM,,Financials,False
ADAPQ-201003,ADAPQ,201003,UNKNOWN,True
ADAX-199911,ADAX,199911,Information Technology,True
ADB-199205,ADB,199205,Energy,True
ADBE,ADBE,,Information Technology,False
ADBL-200803,ADBL,200803,Consumer Discretionary,True
ADC,ADC,,Real Estate,False
ADCT,ADCT,,Health Care,False
ADCT-201012,ADCT,201012,Information Technology,True
ADD-199209,ADD,199209,UNKNOWN,True
ADDR-199612,ADDR,199612,Industrials,True
ADEA,ADEA,,Information Technology,False
ADELQ-200702,ADELQ,200702,Consumer Discretionary,True
ADEP-201510,ADEP,201510,Industrials,True
ADEX-200610,ADEX,200610,Information Technology,True
ADFC-200001,ADFC,200001,Information Technology,True
ADGE-201705,ADGE,201705,Utilities,True
ADGI-201109,ADGI,201109,Industrials,True
ADHC-199603,ADHC,199603,Health Care,True
ADI,ADI,,Information Technology,False
ADIA-199501,ADIA,199501,Industrials,True
ADIC-200608,ADIC,200608,Information Technology,True
ADIE-199112,ADIE,199112,Industrials,True
ADL-199210,ADL,199210,Industrials,True
ADLR-201112,ADLR,201112,Health Care,True
ADLTQ-200312,ADLTQ,200312,Consumer Discretionary,True
ADM,ADM,,Consumer Staples,False
ADMA,ADMA,,Health Care,False
ADMS-202111,ADMS,202111,Health Care,True
ADNC-201506,ADNC,201506,Information Technology,True
ADNH,ADNH,,Industrials,False
ADNT,ADNT,,Consumer Discretionary,False
ADP,ADP,,Industrials,False
ADP-200010,ADP,200010,Industrials,True
ADPI-201202,ADPI,201202,Health Care,True
ADPT,ADPT,,Health Care,False
ADPTQ-201709,ADPTQ,201709,Health Care,True
ADRX-200611,ADRX,200611,Health Care,True
ADSI-199810,ADSI,199810,Industrials,True
ADSK,ADSK,,Information Technology,False
ADSW-202010,ADSW,202010,Industrials,True
ADT,ADT,,Consumer Discretionary,False
ADT-201604,ADT,201604,Industrials,True
ADTH-202406,ADTH,202406,Communication Services,True
ADTN,ADTN,,Information Technology,False
ADUS,ADUS,,Health Care,False
ADV,ADV,,Communication Services,False
ADV-200101,ADV,200101,Financials,True
ADVBQ-201103,ADVBQ,201103,Financials,True
ADVC-199510,ADVC,199510,Industrials,True
ADVG-199601,ADVG,199601,Consumer Discretionary,True
ADVM-202512,ADVM,202512,Health Care,True
ADVNQ-201103,ADVNQ,201103,Financials,True
ADVP-200403,ADVP,200403,Health Care,True
ADVS-201507,ADVS,201507,Information Technology,True
ADXS-202602,ADXS,202602,Health Care,True
ADY-201306,ADY,201306,Consumer Staples,True
ADZA-200704,ADZA,200704,Health Care,True
AE-202502,AE,202502,Energy,True
AEA-201204,AEA,201204,Financials,True
AEC-201508,AEC,201508,Real Estate,True
AEE,AEE,,Utilities,False
AEE-199507,AEE,199507,Consumer Discretionary,True
AEGN-202105,AEGN,202105,Industrials,True
AEGR-201611,AEGR,201611,Health Care,True
AEH-199902,AEH,199902,Health Care,True
AEHR,AEHR,,Information Technology,False
AEI,AEI,,Real Estate,False
AEIC-200002,AEIC,200002,Industrials,True
AEIS,AEIS,,Information Technology,False
AEL-202405,AEL,202405,Financials,True
AELNA-199602,AELNA,199602,Industrials,True
AEMI-201110,AEMI,201110,Industrials,True
AEN-200412,AEN,200412,Communication Services,True
AEO,AEO,,Consumer Discretionary,False
AEP,AEP,,Utilities,False
AEPI-201701,AEPI,201701,Materials,True
AERG,AERG,,Industrials,False
AERI-202211,AERI,202211,Health Care,True
AERL-200005,AERL,200005,Communication Services,True
AERN,AERN,,Industrials,False
AES,AES,,Utilities,False
AESI,AESI,,Energy,False
AET-201811,AET,201811,Health Care,True
AEVA,AEVA,,Information Technology,False
AEYE,AEYE,,Information Technology,False
AEZ-201012,AEZ,201012,Energy,True
AF-201709,AF,201709,Financials,True
AFAM-201803,AFAM,201803,Health Care,True
AFBK-199210,AFBK,199210,Financials,True
AFC.A-199302,AFC.A,199302,Consumer Staples,True
AFCB-199808,AFCB,199808,Financials,True
AFCG,AFCG,,Financials,False
AFCI-200411,AFCI,200411,Information Technology,True
AFCO-200607,AFCO,200607,Information Technology,True
AFCX-199911,AFCX,199911,Industrials,True
AFE-199711,AFE,199711,Financials,True
AFFC-199501,AFFC,199501,Financials,True
AFFMQ-201803,AFFMQ,201803,Financials,True
AFFX-201603,AFFX,201603,Health Care,True
AFFY,AFFY,,UNKNOWN,False
AFG,AFG,,Financials,False
AFHIF-202409,AFHIF,202409,Financials,True
AFIB,AFIB,,Health Care,False
AFIIQ,AFIIQ,,Industrials,False
AFIL-199709,AFIL,199709,Materials,True
AFL,AFL,,Financials,False
AFLX-199909,AFLX,199909,Information Technology,True
AFM-199806,AFM,199806,Consumer Discretionary,True
AFM-200008,AFM,200008,Consumer Discretionary,True
AFMDQ,AFMDQ,,Health Care,False
AFOP-201606,AFOP,201606,Information Technology,True
AFP.A-199310,AFP.A,199310,Consumer Discretionary,True
AFR-200804,AFR,200804,Real Estate,True
AFRI,AFRI,,Consumer Staples,False
AFRM,AFRM,,Financials,False
AFS-200011,AFS,200011,Financials,True
AFSC-200006,AFSC,200006,Financials,True
AFSI-201811,AFSI,201811,Financials,True
AFTQC-199402,AFTQC,199402,Consumer Discretionary,True
AFWY-200102,AFWY,200102,Industrials,True
AGA-200111,AGA,200111,Materials,True
AGAM-201011,AGAM,201011,Health Care,True
AGBGC-199901,AGBGC,199901,Industrials,True
AGC-200108,AGC,200108,Financials,True
AGCCQ-200605,AGCCQ,200605,Materials,True
AGCH-200104,AGCH,200104,Industrials,True
AGCO,AGCO,,Industrials,False
AGD-200310,AGD,200310,Industrials,True
AGE-200709,AGE,200709,Financials,True
AGEN,AGEN,,Health Care,False
AGFS-202303,AGFS,202303,Materials,True
AGHC-202209,AGHC,202209,Health Care,True
AGIG,AGIG,,Energy,False
AGII-200708,AGII,200708,Financials,True
AGIL-200707,AGIL,200707,Information Technology,True
AGIO,AGIO,,Health Care,False
AGIS-199909,AGIS,199909,Consumer Discretionary,True
AGIXQ-200903,AGIXQ,200903,Health Care,True
AGL,AGL,,Health Care,False
AGL-200808,AGL,200808,Industrials,True
AGLF-199812,AGLF,199812,Financials,True
AGM,AGM,,Financials,False
AGN-201503,AGN,201503,Health Care,True
AGN-202005,AGN,202005,Health Care,True
AGNC,AGNC,,Financials,False
AGNT,AGNT,,Real Estate,False
AGO,AGO,,Financials,False
AGP-199901,AGP,199901,Industrials,True
AGP-201212,AGP,201212,Health Care,True
AGPH-199905,AGPH,199905,Health Care,True
AGR.B-200505,AGR.B,200505,Information Technology,True
AGR-200703,AGR,200703,Information Technology,True
AGR-202412,AGR,202412,Utilities,True
AGRPA-200001,AGRPA,200001,Communication Services,True
AGRX-202408,AGRX,202408,Health Care,True
AGS-200102,AGS,200102,UNKNOWN,True
AGS-202506,AGS,202506,Consumer Discretionary,True
AGTC-202211,AGTC,202211,Health Care,True
AGTI-202405,AGTI,202405,Health Care,True
AGX,AGX,,Industrials,False
AGX-200104,AGX,200104,UNKNOWN,True
AGY-200510,AGY,200510,UNKNOWN,True
AGYS,AGYS,,Information Technology,False
AH-200707,AH,200707,Industrials,True
AHAG,AHAG,,UNKNOWN,False
AHCC-199712,AHCC,199712,Health Care,True
AHCI-201110,AHCI,201110,Health Care,True
AHCO,AHCO,,Health Care,False
AHE-199911,AHE,199911,Financials,True
AHG-200810,AHG,200810,Health Care,True
AHI.A-199404,AHI.A,199404,Health Care,True
