scenario,gross_spread,avg_turnover,net_10bps,net_25bps,net_50bps
earnings_surprise,0.0095,0.9907,0.0075,0.0046,-0.0004
sue_standardized,0.0026,0.9908,0.0006,-0.0023,-0.0073
surprise_magnitude,0.0066,0.9923,0.0046,0.0016,-0.0033
positive_surprise_asymmetry,0.0051,0.9907,0.0031,0.0002,-0.0048
earnings_momentum,-0.0012,0.9887,-0.0032,-0.0062,-0.0111
earnings_acceleration,0.0036,0.9893,0.0016,-0.0013,-0.0063
beat_streak,-0.0038,0.9901,-0.0057,-0.0087,-0.0137
surprise_fade,-0.009,0.9902,-0.0109,-0.0139,-0.0189
revenue_growth,0.0049,0.9933,0.003,-0.0,-0.005
earnings_growth,0.0052,0.9926,0.0033,0.0003,-0.0047
gross_margin,-0.0031,0.9879,-0.0051,-0.0081,-0.013
operating_margin,-0.0083,0.9905,-0.0102,-0.0132,-0.0182
fcf_margin,-0.0004,0.9912,-0.0024,-0.0054,-0.0104
roa_quality,-0.0066,0.9927,-0.0086,-0.0115,-0.0165
low_leverage,-0.0056,0.9925,-0.0075,-0.0105,-0.0155
quality_composite,-0.0009,0.9916,-0.0029,-0.0059,-0.0108
balance_sheet_strength,0.0016,0.9889,-0.0004,-0.0034,-0.0083
quality_improvement,0.0089,0.9897,0.0069,0.004,-0.001
earnings_yield_value,-0.0061,0.9886,-0.0081,-0.0111,-0.016
price_momentum_21,0.0081,0.9989,0.0061,0.0031,-0.0019
price_momentum_63,0.0008,0.9994,-0.0012,-0.0042,-0.0092
low_volatility,-0.0198,0.996,-0.0218,-0.0248,-0.0297
low_beta,-0.0115,0.9949,-0.0135,-0.0165,-0.0214
liquidity,,,,,
sector_leadership,0.0062,0.9993,0.0042,0.0012,-0.0037
surprise_high_rates,0.0067,0.9992,0.0047,0.0017,-0.0033
surprise_easy_curve,0.0076,0.9883,0.0056,0.0026,-0.0023
surprise_drawdown,0.0153,0.9868,0.0133,0.0104,0.0054
surprise_high_oil,0.0127,0.974,0.0107,0.0078,0.0029
sue_easy_curve,0.0014,0.9885,-0.0006,-0.0035,-0.0085
surprise_x_quality,0.0103,0.9907,0.0083,0.0054,0.0004
surprise_x_qualimp,0.0099,0.9907,0.0079,0.005,0.0
surprise_x_margin_exp,0.0044,0.991,0.0025,-0.0005,-0.0055
surprise_x_valuation,0.003,0.9901,0.0011,-0.0019,-0.0069
surprise_x_momentum,0.0095,0.9996,0.0075,0.0045,-0.0005
surprise_x_lowvol,-0.0161,0.9994,-0.0181,-0.0211,-0.0261
sue_x_quality,-0.0077,0.9902,-0.0097,-0.0127,-0.0176
sue_x_momentum,0.007,0.9988,0.005,0.002,-0.0029
beats_x_momentum,0.0036,0.9988,0.0017,-0.0013,-0.0063
accel_x_quality,-0.0055,0.9903,-0.0075,-0.0105,-0.0154
accel_x_momentum,0.0004,0.9994,-0.0016,-0.0046,-0.0096
surprise_sector_neutral,0.0108,0.9907,0.0088,0.0058,0.0009
sue_sector_neutral,0.0036,0.9969,0.0016,-0.0014,-0.0063
