scenario,horizon,mean_ic,ic_std,n_months,ic_t,ic_p,bonferroni_p,bh_significant
earnings_surprise,21,0.0442,0.17,120,2.85,0.0044,0.1854,True
sue_standardized,21,0.0366,0.183,120,2.19,0.0283,1.0,False
surprise_magnitude,21,0.0411,0.1681,120,2.68,0.0074,0.3098,True
positive_surprise_asymmetry,21,0.0488,0.1737,120,3.08,0.0021,0.0871,True
earnings_momentum,21,-0.002,0.2112,120,-0.1,0.9186,1.0,False
earnings_acceleration,21,0.0371,0.1583,120,2.57,0.0103,0.4316,True
beat_streak,21,0.0289,0.1785,120,1.78,0.0759,1.0,False
surprise_fade,21,-0.0442,0.17,120,-2.85,0.0044,0.1854,True
revenue_growth,21,0.0135,0.2091,120,0.71,0.4801,1.0,False
earnings_growth,21,0.0113,0.1812,120,0.68,0.4964,1.0,False
gross_margin,21,0.0097,0.1669,120,0.63,0.5257,1.0,False
operating_margin,21,-0.0011,0.1842,120,-0.06,0.9493,1.0,False
fcf_margin,21,0.0154,0.1708,120,0.99,0.3224,1.0,False
roa_quality,21,0.003,0.1863,120,0.18,0.8588,1.0,False
low_leverage,21,-0.0117,0.1849,120,-0.69,0.4892,1.0,False
quality_composite,21,0.0163,0.1791,120,1.0,0.3181,1.0,False
balance_sheet_strength,21,0.0158,0.206,120,0.84,0.4006,1.0,False
quality_improvement,21,0.0286,0.1705,120,1.84,0.0659,1.0,False
earnings_yield_value,21,0.0,0.253,120,0.0,1.0,1.0,False
price_momentum_21,21,0.0202,0.1931,119,1.14,0.2549,1.0,False
price_momentum_63,21,0.0086,0.2281,116,0.4,0.6857,1.0,False
low_volatility,21,-0.0294,0.2641,119,-1.21,0.2249,1.0,False
low_beta,21,-0.0212,0.2957,119,-0.78,0.4339,1.0,False
liquidity,21,,,0,,,,False
sector_leadership,21,0.0113,0.1728,119,0.71,0.4772,1.0,False
surprise_high_rates,21,0.0381,0.1734,45,1.46,0.1448,1.0,False
surprise_easy_curve,21,0.0327,0.1808,96,1.76,0.0782,1.0,False
surprise_drawdown,21,0.0623,0.1498,20,1.86,0.063,1.0,False
surprise_high_oil,21,0.0516,0.1493,76,2.97,0.0029,0.1238,True
sue_easy_curve,21,0.0219,0.2014,96,1.06,0.2884,1.0,False
surprise_x_quality,21,0.047,0.1731,120,2.97,0.0029,0.1237,True
surprise_x_qualimp,21,0.0426,0.1698,120,2.75,0.006,0.2502,True
surprise_x_margin_exp,21,0.0178,0.207,120,0.94,0.3466,1.0,False
surprise_x_valuation,21,0.0177,0.1823,120,1.06,0.2874,1.0,False
surprise_x_momentum,21,0.0235,0.2019,119,1.27,0.2034,1.0,False
surprise_x_lowvol,21,-0.0238,0.2577,119,-1.01,0.3139,1.0,False
sue_x_quality,21,-0.0002,0.2194,120,-0.01,0.9901,1.0,False
sue_x_momentum,21,0.0179,0.1916,119,1.02,0.3091,1.0,False
beats_x_momentum,21,0.0256,0.1757,119,1.59,0.1118,1.0,False
accel_x_quality,21,0.0031,0.2285,120,0.15,0.8828,1.0,False
accel_x_momentum,21,0.0026,0.2275,116,0.12,0.9009,1.0,False
surprise_sector_neutral,21,0.0514,0.1903,120,2.96,0.0031,0.1302,True
sue_sector_neutral,21,0.0422,0.1743,120,2.65,0.008,0.3358,True
