ticker,raw_path_redacted,bytes,gitignored
AAPL,research/data/eodhd/raw/fundamentals/AAPL.json,1359727,True
ABBV,research/data/eodhd/raw/fundamentals/ABBV.json,597347,True
ABNB,research/data/eodhd/raw/fundamentals/ABNB.json,287808,True
ABT,research/data/eodhd/raw/fundamentals/ABT.json,1366851,True
ACN,research/data/eodhd/raw/fundamentals/ACN.json,937096,True
ADBE,research/data/eodhd/raw/fundamentals/ADBE.json,1337404,True
ADI,research/data/eodhd/raw/fundamentals/ADI.json,1350692,True
ADP,research/data/eodhd/raw/fundamentals/ADP.json,1349860,True
AEM,research/data/eodhd/raw/fundamentals/AEM.json,1284909,True
AEP,research/data/eodhd/raw/fundamentals/AEP.json,1312854,True
AFL,research/data/eodhd/raw/fundamentals/AFL.json,1349149,True
ALAB,research/data/eodhd/raw/fundamentals/ALAB.json,166045,True
AMAT,research/data/eodhd/raw/fundamentals/AMAT.json,1354013,True
AMD,research/data/eodhd/raw/fundamentals/AMD.json,1351729,True
AMGN,research/data/eodhd/raw/fundamentals/AMGN.json,1355626,True
AMT,research/data/eodhd/raw/fundamentals/AMT.json,1021144,True
AMX,research/data/eodhd/raw/fundamentals/AMX.json,933663,True
AMZN,research/data/eodhd/raw/fundamentals/AMZN.json,1069215,True
ANET,research/data/eodhd/raw/fundamentals/ANET.json,523630,True
AON,research/data/eodhd/raw/fundamentals/AON.json,1344998,True
APD,research/data/eodhd/raw/fundamentals/APD.json,1359822,True
APH,research/data/eodhd/raw/fundamentals/APH.json,1231317,True
APO,research/data/eodhd/raw/fundamentals/APO.json,669449,True
APP,research/data/eodhd/raw/fundamentals/APP.json,295412,True
ARM,research/data/eodhd/raw/fundamentals/ARM.json,366417,True
ASML,research/data/eodhd/raw/fundamentals/ASML.json,1019487,True
ASX,research/data/eodhd/raw/fundamentals/ASX.json,913726,True
ATEYY,research/data/eodhd/raw/fundamentals/ATEYY.json,849251,True
AVGO,research/data/eodhd/raw/fundamentals/AVGO.json,691359,True
AXP,research/data/eodhd/raw/fundamentals/AXP.json,1356048,True
AZN,research/data/eodhd/raw/fundamentals/AZN.json,1046367,True
B,research/data/eodhd/raw/fundamentals/B.json,1270098,True
BA,research/data/eodhd/raw/fundamentals/BA.json,1372295,True
BABA,research/data/eodhd/raw/fundamentals/BABA.json,585081,True
BAC,research/data/eodhd/raw/fundamentals/BAC.json,1205235,True
BAESY,research/data/eodhd/raw/fundamentals/BAESY.json,906751,True
BAM,research/data/eodhd/raw/fundamentals/BAM.json,1022642,True
BBVA,research/data/eodhd/raw/fundamentals/BBVA.json,1138038,True
BCS,research/data/eodhd/raw/fundamentals/BCS.json,1243740,True
BE,research/data/eodhd/raw/fundamentals/BE.json,434351,True
BHP,research/data/eodhd/raw/fundamentals/BHP.json,1008500,True
BKNG,research/data/eodhd/raw/fundamentals/BKNG.json,968241,True
BKR,research/data/eodhd/raw/fundamentals/BKR.json,437231,True
BLK,research/data/eodhd/raw/fundamentals/BLK.json,975055,True
BMO,research/data/eodhd/raw/fundamentals/BMO.json,1153951,True
BMY,research/data/eodhd/raw/fundamentals/BMY.json,1335609,True
BN,research/data/eodhd/raw/fundamentals/BN.json,1001759,True
BNS,research/data/eodhd/raw/fundamentals/BNS.json,1145585,True
BNY,research/data/eodhd/raw/fundamentals/BNY.json,1255854,True
BP,research/data/eodhd/raw/fundamentals/BP.json,1282911,True
BSX,research/data/eodhd/raw/fundamentals/BSX.json,1205815,True
BTI,research/data/eodhd/raw/fundamentals/BTI.json,903510,True
BUD,research/data/eodhd/raw/fundamentals/BUD.json,738652,True
BX,research/data/eodhd/raw/fundamentals/BX.json,782427,True
C,research/data/eodhd/raw/fundamentals/C.json,1341465,True
CAT,research/data/eodhd/raw/fundamentals/CAT.json,1370983,True
CB,research/data/eodhd/raw/fundamentals/CB.json,1185512,True
CDNS,research/data/eodhd/raw/fundamentals/CDNS.json,1333646,True
CEG,research/data/eodhd/raw/fundamentals/CEG.json,482644,True
CI,research/data/eodhd/raw/fundamentals/CI.json,1347356,True
CIEN,research/data/eodhd/raw/fundamentals/CIEN.json,1029232,True
CL,research/data/eodhd/raw/fundamentals/CL.json,1355006,True
CM,research/data/eodhd/raw/fundamentals/CM.json,1075422,True
CMCSA,research/data/eodhd/raw/fundamentals/CMCSA.json,1357746,True
CME,research/data/eodhd/raw/fundamentals/CME.json,901254,True
CMI,research/data/eodhd/raw/fundamentals/CMI.json,1361238,True
CNI,research/data/eodhd/raw/fundamentals/CNI.json,1056581,True
CNQ,research/data/eodhd/raw/fundamentals/CNQ.json,1116659,True
COF,research/data/eodhd/raw/fundamentals/COF.json,1123906,True
COHR,research/data/eodhd/raw/fundamentals/COHR.json,1309207,True
COP,research/data/eodhd/raw/fundamentals/COP.json,1365251,True
COST,research/data/eodhd/raw/fundamentals/COST.json,1332908,True
CP,research/data/eodhd/raw/fundamentals/CP.json,931737,True
CRH,research/data/eodhd/raw/fundamentals/CRH.json,1031991,True
CRM,research/data/eodhd/raw/fundamentals/CRM.json,861720,True
CRWD,research/data/eodhd/raw/fundamentals/CRWD.json,347310,True
CSCO,research/data/eodhd/raw/fundamentals/CSCO.json,1315875,True
CSX,research/data/eodhd/raw/fundamentals/CSX.json,1355304,True
CTAS,research/data/eodhd/raw/fundamentals/CTAS.json,1328173,True
CVNA,research/data/eodhd/raw/fundamentals/CVNA.json,427151,True
CVS,research/data/eodhd/raw/fundamentals/CVS.json,1368265,True
CVX,research/data/eodhd/raw/fundamentals/CVX.json,1183809,True
CYATY,research/data/eodhd/raw/fundamentals/CYATY.json,97736,True
D,research/data/eodhd/raw/fundamentals/D.json,1304250,True
DASH,research/data/eodhd/raw/fundamentals/DASH.json,290605,True
DB,research/data/eodhd/raw/fundamentals/DB.json,969388,True
DDOG,research/data/eodhd/raw/fundamentals/DDOG.json,331022,True
DE,research/data/eodhd/raw/fundamentals/DE.json,1366216,True
DELL,research/data/eodhd/raw/fundamentals/DELL.json,586071,True
DHR,research/data/eodhd/raw/fundamentals/DHR.json,1347269,True
DIS,research/data/eodhd/raw/fundamentals/DIS.json,1355455,True
DLR,research/data/eodhd/raw/fundamentals/DLR.json,832799,True
DTEGY,research/data/eodhd/raw/fundamentals/DTEGY.json,812851,True
DUK,research/data/eodhd/raw/fundamentals/DUK.json,1308579,True
E,research/data/eodhd/raw/fundamentals/E.json,1021834,True
ECL,research/data/eodhd/raw/fundamentals/ECL.json,1355274,True
ELV,research/data/eodhd/raw/fundamentals/ELV.json,932781,True
EMR,research/data/eodhd/raw/fundamentals/EMR.json,1356671,True
ENB,research/data/eodhd/raw/fundamentals/ENB.json,1255498,True
EOG,research/data/eodhd/raw/fundamentals/EOG.json,1266846,True
EPD,research/data/eodhd/raw/fundamentals/EPD.json,987808,True
EQIX,research/data/eodhd/raw/fundamentals/EQIX.json,936483,True
EQNR,research/data/eodhd/raw/fundamentals/EQNR.json,915661,True
ET,research/data/eodhd/raw/fundamentals/ET.json,778387,True
ETN,research/data/eodhd/raw/fundamentals/ETN.json,1350507,True
F,research/data/eodhd/raw/fundamentals/F.json,1364685,True
FCX,research/data/eodhd/raw/fundamentals/FCX.json,1318528,True
FDX,research/data/eodhd/raw/fundamentals/FDX.json,1373930,True
FIX,research/data/eodhd/raw/fundamentals/FIX.json,1011334,True
FTNT,research/data/eodhd/raw/fundamentals/FTNT.json,677389,True
GD,research/data/eodhd/raw/fundamentals/GD.json,1359631,True
GE,research/data/eodhd/raw/fundamentals/GE.json,1379087,True
GEV,research/data/eodhd/raw/fundamentals/GEV.json,151846,True
GILD,research/data/eodhd/raw/fundamentals/GILD.json,1222057,True
GLW,research/data/eodhd/raw/fundamentals/GLW.json,1358783,True
GM,research/data/eodhd/raw/fundamentals/GM.json,904865,True
GOOGL,research/data/eodhd/raw/fundamentals/GOOGL.json,883820,True
GS,research/data/eodhd/raw/fundamentals/GS.json,989333,True
GSK,research/data/eodhd/raw/fundamentals/GSK.json,1264803,True
GWW,research/data/eodhd/raw/fundamentals/GWW.json,1347346,True
HCA,research/data/eodhd/raw/fundamentals/HCA.json,1223175,True
HD,research/data/eodhd/raw/fundamentals/HD.json,1363314,True
HDB,research/data/eodhd/raw/fundamentals/HDB.json,892834,True
HLT,research/data/eodhd/raw/fundamentals/HLT.json,753607,True
HON,research/data/eodhd/raw/fundamentals/HON.json,1359368,True
HOOD,research/data/eodhd/raw/fundamentals/HOOD.json,277011,True
HPE,research/data/eodhd/raw/fundamentals/HPE.json,504676,True
HSBC,research/data/eodhd/raw/fundamentals/HSBC.json,900261,True
HTHIY,research/data/eodhd/raw/fundamentals/HTHIY.json,1250544,True
HWM,research/data/eodhd/raw/fundamentals/HWM.json,832559,True
IBKR,research/data/eodhd/raw/fundamentals/IBKR.json,748892,True
IBM,research/data/eodhd/raw/fundamentals/IBM.json,1374387,True
IBN,research/data/eodhd/raw/fundamentals/IBN.json,908760,True
ICE,research/data/eodhd/raw/fundamentals/ICE.json,820794,True
IFNNY,research/data/eodhd/raw/fundamentals/IFNNY.json,830276,True
IMO,research/data/eodhd/raw/fundamentals/IMO.json,1321382,True
ING,research/data/eodhd/raw/fundamentals/ING.json,956445,True
INTC,research/data/eodhd/raw/fundamentals/INTC.json,1364634,True
INTU,research/data/eodhd/raw/fundamentals/INTU.json,1159797,True
ISRG,research/data/eodhd/raw/fundamentals/ISRG.json,933877,True
ITUB,research/data/eodhd/raw/fundamentals/ITUB.json,924104,True
ITW,research/data/eodhd/raw/fundamentals/ITW.json,1353220,True
JCI,research/data/eodhd/raw/fundamentals/JCI.json,1356876,True
JNJ,research/data/eodhd/raw/fundamentals/JNJ.json,1374415,True
JPM,research/data/eodhd/raw/fundamentals/JPM.json,1369456,True
KEYS,research/data/eodhd/raw/fundamentals/KEYS.json,529313,True
KKR,research/data/eodhd/raw/fundamentals/KKR.json,655758,True
