scenario,family,signal,mean_ic,ic_t,n_events,exploratory,reject_reason
surprise_high_rates,regime,surprise_pct,0.0381,1.46,13776,False,ic_t below +2.0; not stable across subperiods (a half flips sign); not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
surprise_easy_curve,regime,surprise_pct,0.0327,1.76,23381,False,ic_t below +2.0; not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
surprise_drawdown,regime,surprise_pct,0.0623,1.86,1372,False,ic_t below +2.0; sector-concentrated (Unknown 67%); fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
surprise_high_oil,regime,surprise_pct,0.0516,2.97,15712,True,"sector-concentrated (Unknown 60%); exploratory/challenge scenario - reported, not promoted as confirmed"
sue_easy_curve,regime,sue,0.0219,1.06,22532,False,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; does not survive 10 bps cost; does not survive 25 bps cost; not stable across subperiods (a half flips sign); not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
surprise_x_qualimp,interaction,surprise_x_qualimp,0.0426,2.75,27279,False,sector-concentrated (Unknown 60%)
surprise_x_margin_exp,interaction,surprise_x_margin_exp,0.0178,0.94,26792,False,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; does not survive 25 bps cost; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
surprise_x_valuation,interaction,surprise_x_valuation,0.0177,1.06,26622,False,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; does not survive 25 bps cost; sector-concentrated (Unknown 69%); fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
surprise_x_momentum,interaction,surprise_x_mom,0.0235,1.27,10731,False,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; sector-concentrated (Unknown 62%); fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
surprise_x_lowvol,interaction,surprise_x_lowvol,-0.0238,-1.01,10790,False,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; does not survive 10 bps cost; does not survive 25 bps cost; not stable across subperiods (a half flips sign); fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
sue_x_quality,interaction,sue_x_quality,-0.0002,-0.01,25990,False,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; spread hit-rate below 0.55 and spread not strongly compensating; does not survive 10 bps cost; does not survive 25 bps cost; not stable across subperiods (a half flips sign); not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
sue_x_momentum,interaction,sue_x_mom,0.0179,1.02,10868,False,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; sector-concentrated (Unknown 62%); fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
beats_x_momentum,interaction,beats_x_mom,0.0256,1.59,11157,False,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; spread hit-rate below 0.55 and spread not strongly compensating; does not survive 25 bps cost; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
accel_x_quality,interaction,accel_x_quality,0.0031,0.15,26998,False,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; spread hit-rate below 0.55 and spread not strongly compensating; does not survive 10 bps cost; does not survive 25 bps cost; not stable across subperiods (a half flips sign); fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
accel_x_momentum,interaction,accel_x_mom2,0.0026,0.12,10731,False,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; spread hit-rate below 0.55 and spread not strongly compensating; does not survive 10 bps cost; does not survive 25 bps cost; sector-concentrated (Unknown 60%); not stable across subperiods (a half flips sign); not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
sue_sector_neutral,earnings,sue,0.0422,2.65,26392,False,does not survive 25 bps cost
