exp_id,cycle,family,agent,driver,cohort,is_challenge,real_external_data,needs_provider,status,promotion,n_events,n_recent_events,lift_vs_control,ev_after_25bps,worst_decile_mean,recent_lift_vs_control,hit_rate,reason,alpha_promotion,provider_limited
S8J-RATES-MACRO-20,1,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,rates,cohort_rates_neg,False,True,False,PROMISING_SENSITIVITY_SETUP,PROMISING_EXTERNAL_SIGNAL,11881,6320,0.004035,0.001276,-0.157763,0.003413,0.523272,"positive but misses: portfolio_beats_spy_and_cash_active, worst_decile_not_catastrophic",PROMISING_ALPHA_SIGNAL,False
S8J-RATES-EARNCONF-20,1,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,rates,cohort_rates_neg,False,True,False,REJECTED,PROMISING_EXTERNAL_SIGNAL,692,394,0.005328,0.003779,-0.155446,0.004877,0.543353,"insufficient events (total=692, recent=394)",PROMISING_ALPHA_SIGNAL,True
