model,window,train_start,train_end,test_start,test_end,n_test_months,oos_mean_ic
quality_blend__ic_sign,3,2017-12,2019-11,2019-12,2020-05,6,-0.0346
quality_blend__ic_sign,4,2018-06,2020-05,2020-06,2020-11,6,-0.0259
quality_blend__ic_sign,5,2018-12,2020-11,2020-12,2021-05,6,-0.1176
quality_blend__ic_sign,6,2019-06,2021-05,2021-06,2021-11,6,-0.0269
quality_blend__ic_sign,7,2019-12,2021-11,2021-12,2022-05,6,-0.0996
quality_blend__ic_sign,8,2020-06,2022-05,2022-06,2022-11,6,0.0193
quality_blend__ic_sign,9,2020-12,2022-11,2022-12,2023-05,6,0.0244
quality_blend__ic_sign,10,2021-06,2023-05,2023-06,2023-11,6,0.0832
quality_blend__ic_sign,11,2021-12,2023-11,2023-12,2024-05,6,0.0107
quality_blend__ic_sign,12,2022-06,2024-05,2024-06,2024-11,6,0.073
quality_blend__ic_sign,13,2022-12,2024-11,2024-12,2025-05,6,-0.0924
quality_blend__ic_sign,14,2023-06,2025-05,2025-06,2025-11,6,0.0755
quality_blend__ic_sign,15,2023-12,2025-11,2025-12,2026-05,6,-0.003
quality_blend__ic_weighted,0,2016-06,2018-05,2018-06,2018-11,6,-0.0711
quality_blend__ic_weighted,1,2016-12,2018-11,2018-12,2019-05,6,-0.0161
quality_blend__ic_weighted,2,2017-06,2019-05,2019-06,2019-11,6,0.1475
quality_blend__ic_weighted,3,2017-12,2019-11,2019-12,2020-05,6,-0.017
quality_blend__ic_weighted,4,2018-06,2020-05,2020-06,2020-11,6,-0.018
quality_blend__ic_weighted,5,2018-12,2020-11,2020-12,2021-05,6,-0.131
quality_blend__ic_weighted,6,2019-06,2021-05,2021-06,2021-11,6,0.0036
quality_blend__ic_weighted,7,2019-12,2021-11,2021-12,2022-05,6,-0.0881
quality_blend__ic_weighted,8,2020-06,2022-05,2022-06,2022-11,6,0.0143
quality_blend__ic_weighted,9,2020-12,2022-11,2022-12,2023-05,6,-0.0415
quality_blend__ic_weighted,10,2021-06,2023-05,2023-06,2023-11,6,0.1145
quality_blend__ic_weighted,11,2021-12,2023-11,2023-12,2024-05,6,0.0296
quality_blend__ic_weighted,12,2022-06,2024-05,2024-06,2024-11,6,0.0773
quality_blend__ic_weighted,13,2022-12,2024-11,2024-12,2025-05,6,-0.0715
quality_blend__ic_weighted,14,2023-06,2025-05,2025-06,2025-11,6,0.0721
quality_blend__ic_weighted,15,2023-12,2025-11,2025-12,2026-05,6,0.0603
value_price_blend__equal,0,2016-06,2018-05,2018-06,2018-11,6,0.0767
value_price_blend__equal,1,2016-12,2018-11,2018-12,2019-05,6,0.1048
value_price_blend__equal,2,2017-06,2019-05,2019-06,2019-11,6,0.0439
value_price_blend__equal,3,2017-12,2019-11,2019-12,2020-05,6,-0.2076
value_price_blend__equal,4,2018-06,2020-05,2020-06,2020-11,6,-0.0534
value_price_blend__equal,5,2018-12,2020-11,2020-12,2021-05,6,-0.017
value_price_blend__equal,6,2019-06,2021-05,2021-06,2021-11,6,0.0833
value_price_blend__equal,7,2019-12,2021-11,2021-12,2022-05,6,0.0922
value_price_blend__equal,8,2020-06,2022-05,2022-06,2022-11,6,-0.017
value_price_blend__equal,9,2020-12,2022-11,2022-12,2023-05,6,0.0481
value_price_blend__equal,10,2021-06,2023-05,2023-06,2023-11,6,-0.0814
