name,kind,gross_spread,avg_turnover,net_10bps,net_25bps,net_50bps
earnings_surprise,scenario,0.003,0.9947,0.001,-0.002,-0.007
sue_standardized,scenario,0.0019,0.9954,-0.0001,-0.0031,-0.008
surprise_magnitude,scenario,0.0032,0.9953,0.0012,-0.0018,-0.0068
positive_surprise_asymmetry,scenario,0.0029,0.9948,0.0009,-0.0021,-0.0071
earnings_momentum,scenario,0.0011,0.9937,-0.0009,-0.0039,-0.0088
earnings_acceleration,scenario,0.0053,0.9925,0.0033,0.0003,-0.0046
beat_streak,scenario,-0.0017,0.9943,-0.0037,-0.0066,-0.0116
surprise_fade,scenario,-0.0029,0.9927,-0.0049,-0.0079,-0.0129
revenue_growth,scenario,0.0017,0.9961,-0.0003,-0.0033,-0.0082
earnings_growth,scenario,0.0018,0.9935,-0.0002,-0.0032,-0.0081
gross_margin,scenario,-0.0032,0.9935,-0.0052,-0.0082,-0.0131
operating_margin,scenario,-0.0025,0.9954,-0.0045,-0.0075,-0.0125
fcf_margin,scenario,0.0035,0.9959,0.0015,-0.0015,-0.0065
roa_quality,scenario,-0.004,0.9944,-0.006,-0.009,-0.014
low_leverage,scenario,-0.0011,0.9927,-0.0031,-0.0061,-0.011
quality_composite,scenario,0.0038,0.9964,0.0018,-0.0012,-0.0062
balance_sheet_strength,scenario,0.009,0.9931,0.0071,0.0041,-0.0009
quality_improvement,scenario,0.004,0.9944,0.002,-0.001,-0.0059
earnings_yield_value,scenario,-0.0024,0.9892,-0.0044,-0.0073,-0.0123
margin_expansion,scenario,0.006,0.9917,0.004,0.001,-0.004
price_momentum_21,scenario,0.0074,0.9994,0.0054,0.0024,-0.0026
price_momentum_63,scenario,-0.0012,0.9997,-0.0032,-0.0062,-0.0112
low_volatility,scenario,-0.0138,0.9953,-0.0158,-0.0188,-0.0238
low_beta,scenario,-0.0077,0.9957,-0.0097,-0.0127,-0.0177
liquidity,scenario,,,,,
sector_leadership,scenario,0.0052,0.9996,0.0032,0.0002,-0.0048
price_reversal_21,scenario,0.0074,0.9994,0.0054,0.0024,-0.0026
beta_signal,scenario,-0.0077,0.9957,-0.0097,-0.0127,-0.0177
low_vol_sector_neutral,scenario,-0.013,0.9962,-0.015,-0.018,-0.0229
sector_relative_strength,scenario,-0.0017,0.9995,-0.0037,-0.0067,-0.0117
surprise_high_rates,scenario,-0.0035,0.9996,-0.0055,-0.0085,-0.0135
surprise_easy_curve,scenario,0.0026,0.9934,0.0007,-0.0023,-0.0073
surprise_drawdown,scenario,0.0065,0.9868,0.0045,0.0016,-0.0034
surprise_high_oil,scenario,0.0039,0.9876,0.0019,-0.0011,-0.006
sue_easy_curve,scenario,0.0006,0.9943,-0.0014,-0.0044,-0.0094
surprise_x_quality,scenario,0.0029,0.9947,0.0009,-0.002,-0.007
surprise_x_qualimp,scenario,0.0029,0.9947,0.0009,-0.0021,-0.007
surprise_x_margin_exp,scenario,0.0026,0.9955,0.0006,-0.0024,-0.0074
surprise_x_valuation,scenario,0.0023,0.9907,0.0003,-0.0026,-0.0076
surprise_x_momentum,scenario,0.0076,0.9998,0.0056,0.0026,-0.0024
surprise_x_lowvol,scenario,-0.0117,0.9984,-0.0137,-0.0167,-0.0217
sue_x_quality,scenario,-0.0062,0.9945,-0.0081,-0.0111,-0.0161
sue_x_momentum,scenario,0.0059,0.9994,0.0039,0.0009,-0.0041
beats_x_momentum,scenario,-0.0013,0.9993,-0.0033,-0.0063,-0.0113
accel_x_quality,scenario,-0.0048,0.9946,-0.0068,-0.0097,-0.0147
accel_x_momentum,scenario,-0.0017,0.9997,-0.0037,-0.0067,-0.0117
surprise_sector_neutral,scenario,0.0025,0.9949,0.0005,-0.0025,-0.0075
sue_sector_neutral,scenario,0.0006,0.9987,-0.0014,-0.0044,-0.0094
earnings_blend__equal,model,-0.0,0.9997,-0.002,-0.005,-0.01
earnings_blend__ic_sign,model,-0.0034,0.9996,-0.0054,-0.0084,-0.0134
earnings_blend__ic_weighted,model,-0.0041,0.9993,-0.0061,-0.0091,-0.0141
quality_blend__equal,model,0.0033,0.9991,0.0013,-0.0017,-0.0067
quality_blend__ic_sign,model,-0.0004,0.9993,-0.0024,-0.0054,-0.0104
quality_blend__ic_weighted,model,0.0009,0.9991,-0.0011,-0.0041,-0.0091
value_price_blend__equal,model,-0.0059,0.9975,-0.0078,-0.0108,-0.0158
value_price_blend__ic_sign,model,-0.004,0.9975,-0.006,-0.009,-0.014
value_price_blend__ic_weighted,model,-0.0004,0.9978,-0.0024,-0.0054,-0.0104
kitchen_sink_blend__equal,model,-0.0042,0.9993,-0.0062,-0.0092,-0.0142
kitchen_sink_blend__ic_sign,model,-0.0024,0.9995,-0.0044,-0.0074,-0.0123
kitchen_sink_blend__ic_weighted,model,-0.0053,0.9988,-0.0073,-0.0103,-0.0153
