name,kind,family,cycle,input_hash,ic_t,bh_significant,status,reject_reasons
earnings_surprise,scenario,earnings,1,f9f402b77d54,1.68,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; old-cohort-only / fails old-new cohort split; single-sector-dominated (>60% one sector)
sue_standardized,scenario,earnings,1,9dde14aca7a4,1.73,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost
surprise_magnitude,scenario,earnings,1,09618bd1bb0f,1.34,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; old-cohort-only / fails old-new cohort split; single-sector-dominated (>60% one sector)
positive_surprise_asymmetry,scenario,earnings,1,b37a10a9e263,1.82,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; old-cohort-only / fails old-new cohort split; single-sector-dominated (>60% one sector)
earnings_momentum,scenario,earnings,1,95b19fccdfa0,0.74,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
earnings_acceleration,scenario,earnings,1,79abddf75074,2.24,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); single-sector-dominated (>60% one sector)
beat_streak,scenario,earnings,1,2eda5faaba06,0.42,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability
surprise_fade,scenario,earnings,1,0cf9ab016218,-1.68,False,rejected,"exploratory/challenge scenario - reported, never promoted as strong alpha; non-positive mean IC; IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)"
revenue_growth,scenario,fundamentals,2,58a246848b68,0.43,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; fails pre/post-2020 (subperiod) stability
earnings_growth,scenario,fundamentals,2,dbd8b8d9490f,0.3,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; fails pre/post-2020 (subperiod) stability
gross_margin,scenario,fundamentals,2,47d9c04c27a7,0.13,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
operating_margin,scenario,fundamentals,2,3df0af36dbbf,0.1,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
fcf_margin,scenario,fundamentals,2,b85d49de10f3,1.84,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; single-sector-dominated (>60% one sector)
roa_quality,scenario,fundamentals,2,c43a17bd6a63,0.72,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating
low_leverage,scenario,fundamentals,2,b9e8f1779ec5,0.26,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
quality_composite,scenario,fundamentals,2,293566d5a721,1.97,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating
balance_sheet_strength,scenario,fundamentals,2,966566972c1e,1.97,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); single-sector-dominated (>60% one sector)
quality_improvement,scenario,fundamentals,2,cd8033aa6737,0.66,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability
earnings_yield_value,scenario,valuation,2,75243be3db59,0.46,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
margin_expansion,scenario,fundamentals,2,0d45ed6389ee,1.11,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; single-sector-dominated (>60% one sector)
price_momentum_21,scenario,price,3,28319516c5f1,0.61,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; single-sector-dominated (>60% one sector)
price_momentum_63,scenario,price,3,60e45957a0c9,0.18,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
low_volatility,scenario,price,3,cba966d8369c,-0.64,False,rejected,non-positive mean IC; IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
low_beta,scenario,price,3,9b7c78265770,-0.61,False,rejected,non-positive mean IC; IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
liquidity,scenario,price,3,30e09c7b23e0,,False,rejected,"exploratory/challenge scenario - reported, never promoted as strong alpha; candidate slice has insufficient events (0<150); candidate slice has insufficient months (0<10); non-positive mean IC; IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability"
sector_leadership,scenario,price,3,07bfbb6aed34,0.44,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
price_reversal_21,scenario,price,3,c54aa0d37a4b,0.61,False,rejected,"exploratory/challenge scenario - reported, never promoted as strong alpha; IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; single-sector-dominated (>60% one sector)"
