ticker,asset_class,reason,next_action
SPY,us_equity,stooq returned a JavaScript browser-verification challenge instead of CSV,retry Stooq download for spy.us in Phase 3-W (Stooq only)
QQQ,us_equity,stooq returned a JavaScript browser-verification challenge instead of CSV,retry Stooq download for qqq.us in Phase 3-W (Stooq only)
IWM,us_equity,stooq returned a JavaScript browser-verification challenge instead of CSV,retry Stooq download for iwm.us in Phase 3-W (Stooq only)
EFA,intl_dev_equity,stooq returned a JavaScript browser-verification challenge instead of CSV,retry Stooq download for efa.us in Phase 3-W (Stooq only)
EEM,intl_em_equity,stooq returned a JavaScript browser-verification challenge instead of CSV,retry Stooq download for eem.us in Phase 3-W (Stooq only)
VGK,intl_dev_equity,stooq returned a JavaScript browser-verification challenge instead of CSV,retry Stooq download for vgk.us in Phase 3-W (Stooq only)
EWJ,intl_dev_equity,stooq returned a JavaScript browser-verification challenge instead of CSV,retry Stooq download for ewj.us in Phase 3-W (Stooq only)
FXI,intl_em_equity,stooq returned a JavaScript browser-verification challenge instead of CSV,retry Stooq download for fxi.us in Phase 3-W (Stooq only)
SHY,rates,stooq returned a JavaScript browser-verification challenge instead of CSV,retry Stooq download for shy.us in Phase 3-W (Stooq only)
IEF,rates,stooq returned a JavaScript browser-verification challenge instead of CSV,retry Stooq download for ief.us in Phase 3-W (Stooq only)
TLT,rates,stooq returned a JavaScript browser-verification challenge instead of CSV,retry Stooq download for tlt.us in Phase 3-W (Stooq only)
TIP,rates,stooq returned a JavaScript browser-verification challenge instead of CSV,retry Stooq download for tip.us in Phase 3-W (Stooq only)
LQD,credit,stooq returned a JavaScript browser-verification challenge instead of CSV,retry Stooq download for lqd.us in Phase 3-W (Stooq only)
HYG,credit,stooq returned a JavaScript browser-verification challenge instead of CSV,retry Stooq download for hyg.us in Phase 3-W (Stooq only)
GLD,commodity,stooq returned a JavaScript browser-verification challenge instead of CSV,retry Stooq download for gld.us in Phase 3-W (Stooq only)
SLV,commodity,stooq returned a JavaScript browser-verification challenge instead of CSV,retry Stooq download for slv.us in Phase 3-W (Stooq only)
DBC,commodity,stooq returned a JavaScript browser-verification challenge instead of CSV,retry Stooq download for dbc.us in Phase 3-W (Stooq only)
USO,commodity,stooq returned a JavaScript browser-verification challenge instead of CSV,retry Stooq download for uso.us in Phase 3-W (Stooq only)
UUP,currency,stooq returned a JavaScript browser-verification challenge instead of CSV,retry Stooq download for uup.us in Phase 3-W (Stooq only)
FXE,currency,stooq returned a JavaScript browser-verification challenge instead of CSV,retry Stooq download for fxe.us in Phase 3-W (Stooq only)
FXY,currency,stooq returned a JavaScript browser-verification challenge instead of CSV,retry Stooq download for fxy.us in Phase 3-W (Stooq only)
VIXY,volatility,stooq returned a JavaScript browser-verification challenge instead of CSV,retry Stooq download for vixy.us in Phase 3-W (Stooq only)
